city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Skhirate,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Beni Yakhlef,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Beni Yakhlef,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Beni Yakhlef,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Beni Yakhlef,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Beni Yakhlef,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Beni Yakhlef,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Beni Yakhlef,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Beni Yakhlef,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Beni Yakhlef,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
