lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
32.875,-6.875,2026-09-20,35.8,19.1,0.0,8,22.3,43.9,1
33.0,-7.625,2026-09-14,39.8,23.7,0.0,0,25.7,52.9,2
33.0,-7.625,2026-09-15,35.8,22.0,0.0,0,23.0,49.7,3
33.0,-7.625,2026-09-16,29.7,19.0,0.0,0,20.4,41.4,2
33.0,-7.625,2026-09-17,27.1,17.1,0.0,2,16.6,35.3,3
33.0,-7.625,2026-09-18,30.0,15.7,0.0,5,18.2,41.0,45
33.0,-7.625,2026-09-19,34.4,16.8,0.0,14,18.7,35.6,3
33.0,-7.625,2026-09-20,37.2,21.7,0.3,15,24.3,47.5,80
33.25,-7.5625,2026-09-14,39.9,24.0,0.0,0,23.6,42.5,3
33.25,-7.5625,2026-09-15,35.0,21.0,0.0,0,21.5,38.2,3
33.25,-7.5625,2026-09-16,28.8,18.7,0.0,0,21.0,37.4,2
33.25,-7.5625,2026-09-17,27.3,17.7,0.0,2,16.8,30.2,3
33.25,-7.5625,2026-09-18,29.3,16.0,0.0,3,20.2,37.4,45
33.25,-7.5625,2026-09-19,33.0,18.0,0.0,5,19.9,36.0,45
33.25,-7.5625,2026-09-20,37.0,20.9,0.0,5,19.8,38.2,3
23.725834,-15.966187,2026-09-14,22.6,20.1,0.0,0,21.1,26.3,1
23.725834,-15.966187,2026-09-15,24.0,20.9,0.0,0,31.6,38.2,1
23.725834,-15.966187,2026-09-16,23.7,21.4,0.0,0,34.9,44.3,0
23.725834,-15.966187,2026-09-17,21.9,19.9,0.0,0,37.9,49.7,1
23.725834,-15.966187,2026-09-18,21.2,20.4,0.0,0,37.5,46.1,0
23.725834,-15.966187,2026-09-19,21.0,20.0,0.0,0,28.0,34.9,0
23.725834,-15.966187,2026-09-20,21.7,19.6,0.0,0,30.4,39.2,0
35.1875,-2.9375,2026-09-14,26.4,23.2,0.0,0,14.4,33.1,2
35.1875,-2.9375,2026-09-15,26.3,22.0,0.0,0,12.0,28.1,3
35.1875,-2.9375,2026-09-16,29.8,20.8,0.0,0,8.6,24.8,2
35.1875,-2.9375,2026-09-17,26.1,22.1,0.0,5,11.5,27.0,3
35.1875,-2.9375,2026-09-18,25.3,21.5,0.3,13,13.5,32.4,3
35.1875,-2.9375,2026-09-19,27.7,22.2,0.45,10,19.4,33.8,3
35.1875,-2.9375,2026-09-20,27.5,22.5,0.0,3,18.6,33.8,45
34.25,-4.0,2026-09-14,32.3,20.4,0.0,0,19.2,38.5,3
34.25,-4.0,2026-09-15,33.3,19.9,0.0,0,15.7,33.1,3
34.25,-4.0,2026-09-16,30.5,19.3,0.0,0,24.1,50.4,1
34.25,-4.0,2026-09-17,29.4,18.2,0.0,5,19.3,42.1,3
34.25,-4.0,2026-09-18,29.0,17.2,0.0,5,19.2,41.4,3
34.25,-4.0,2026-09-19,32.6,19.0,0.0,8,17.6,39.6,3
34.25,-4.0,2026-09-20,33.2,20.7,0.0,8,19.9,37.8,1
30.375,-9.5625,2026-09-14,38.2,25.5,0.0,3,12.1,35.6,3
30.375,-9.5625,2026-09-15,32.9,24.2,0.0,3,12.3,32.4,2
30.375,-9.5625,2026-09-16,31.6,21.7,0.0,0,15.5,41.0,1
30.375,-9.5625,2026-09-17,26.1,20.4,0.0,0,14.4,37.8,2
30.375,-9.5625,2026-09-18,25.1,19.5,0.0,5,14.4,39.2,2
30.375,-9.5625,2026-09-19,38.0,20.3,0.0,5,16.3,40.0,3
30.375,-9.5625,2026-09-20,40.4,25.5,0.0,0,16.9,38.5,1
35.1875,-6.125,2026-09-14,35.7,22.1,0.0,0,14.8,27.7,0
35.1875,-6.125,2026-09-15,30.6,19.6,0.0,0,25.3,48.6,0
35.1875,-6.125,2026-09-16,26.7,18.7,0.0,0,18.1,33.8,2
35.1875,-6.125,2026-09-17,26.1,18.9,0.0,0,14.4,27.4,45
35.1875,-6.125,2026-09-18,27.4,15.3,0.0,0,16.8,33.1,45
35.1875,-6.125,2026-09-19,30.6,18.5,0.0,3,14.8,28.1,2
35.1875,-6.125,2026-09-20,36.0,20.0,0.0,3,18.2,33.8,2
33.8125,-6.0625,2026-09-14,39.4,23.2,0.0,0,19.7,39.6,2
33.8125,-6.0625,2026-09-15,35.3,20.6,0.0,0,20.2,40.3,2
33.8125,-6.0625,2026-09-16,30.9,18.1,0.0,0,18.4,37.4,2
33.8125,-6.0625,2026-09-17,27.9,16.2,0.0,2,14.1,28.8,45
33.8125,-6.0625,2026-09-18,30.4,14.8,0.0,5,18.1,33.8,3
33.8125,-6.0625,2026-09-19,35.3,18.1,0.0,3,13.3,27.7,3
33.8125,-6.0625,2026-09-20,38.1,19.2,0.0,3,21.2,39.6,1
28.998241,-10.114685,2026-09-14,37.6,27.5,0.1,35,21.8,37.4,51
28.998241,-10.114685,2026-09-15,38.3,24.3,0.0,4,24.8,43.6,0
28.998241,-10.114685,2026-09-16,36.6,20.5,0.0,0,30.8,51.1,1
28.998241,-10.114685,2026-09-17,24.8,18.3,0.0,0,27.4,45.7,3
28.998241,-10.114685,2026-09-18,28.3,18.3,0.0,0,23.6,42.1,3
28.998241,-10.114685,2026-09-19,32.1,18.2,0.0,0,26.2,46.1,3
28.998241,-10.114685,2026-09-20,36.7,19.2,0.0,4,20.9,37.1,0
35.0,-5.875,2026-09-14,39.0,24.4,0.0,0,17.1,34.2,0
35.0,-5.875,2026-09-15,35.4,21.2,0.0,0,22.7,46.1,0
35.0,-5.875,2026-09-16,29.9,20.7,0.0,0,15.9,31.0,2
35.0,-5.875,2026-09-17,27.5,19.9,0.0,0,11.2,21.2,3
35.0,-5.875,2026-09-18,30.9,16.4,0.0,3,18.1,34.6,45
35.0,-5.875,2026-09-19,36.5,18.4,0.0,3,18.7,35.6,2
35.0,-5.875,2026-09-20,39.6,21.8,0.0,3,14.0,31.7,0
32.9375,-5.6875,2026-09-14,36.9,19.8,0.0,3,16.1,31.7,3
32.9375,-5.6875,2026-09-15,34.7,20.2,0.0,3,22.0,41.8,3
32.9375,-5.6875,2026-09-16,31.6,16.3,0.0,0,19.2,34.9,2
32.9375,-5.6875,2026-09-17,30.4,16.1,0.0,13,18.5,33.5,3
32.9375,-5.6875,2026-09-18,32.7,14.7,0.0,20,20.9,40.0,3
32.9375,-5.6875,2026-09-19,33.8,19.9,0.0,12,13.2,27.7,3
32.9375,-5.6875,2026-09-20,36.2,20.3,0.0,13,10.2,23.0,2
33.875,-7.0,2026-09-14,30.6,22.7,0.0,0,10.7,25.2,1
33.875,-7.0,2026-09-15,26.3,20.9,0.0,0,13.9,31.0,45
33.875,-7.0,2026-09-16,24.8,20.6,0.0,0,16.9,36.7,2
33.875,-7.0,2026-09-17,24.8,19.0,0.0,0,13.2,29.5,3
33.875,-7.0,2026-09-18,24.6,16.7,0.0,0,16.8,36.7,2
33.875,-7.0,2026-09-19,25.9,17.7,0.0,0,12.6,27.0,3
33.875,-7.0,2026-09-20,29.4,20.8,0.0,0,13.8,27.7,0
33.625,-7.3125,2026-09-14,36.0,23.8,0.0,0,16.9,31.0,1
33.625,-7.3125,2026-09-15,30.3,20.4,0.0,0,18.0,33.5,45
33.625,-7.3125,2026-09-16,26.5,19.4,0.0,0,20.4,37.8,3
33.625,-7.3125,2026-09-17,26.6,18.5,0.0,0,16.4,31.0,3
33.625,-7.3125,2026-09-18,27.0,15.6,0.0,3,20.6,38.5,45
33.625,-7.3125,2026-09-19,29.5,18.2,0.0,3,17.5,32.8,45
33.625,-7.3125,2026-09-20,33.1,20.7,0.0,0,19.1,36.4,0
33.6875,-6.875,2026-09-14,38.3,23.7,0.0,0,21.6,42.8,1
33.6875,-6.875,2026-09-15,32.4,20.1,0.0,0,20.4,41.0,1
33.6875,-6.875,2026-09-16,27.5,18.5,0.0,0,22.2,43.9,2
33.6875,-6.875,2026-09-17,26.3,17.3,0.0,0,16.4,33.5,3
33.6875,-6.875,2026-09-18,27.9,15.0,0.0,0,19.6,40.3,1
33.6875,-6.875,2026-09-19,31.3,16.6,0.0,0,15.8,33.1,3
33.6875,-6.875,2026-09-20,36.2,19.3,0.0,0,19.1,38.2,0
32.25,-7.9375,2026-09-14,39.7,26.3,0.0,0,23.0,47.5,3
32.25,-7.9375,2026-09-15,37.1,24.5,0.0,0,23.9,48.6,3
32.25,-7.9375,2026-09-16,32.5,19.5,0.0,0,22.2,44.3,0
32.25,-7.9375,2026-09-17,28.5,16.7,0.0,0,16.3,33.1,2
32.25,-7.9375,2026-09-18,30.9,16.6,0.0,5,16.3,33.5,1
